asset,agency,check,outcome,affected,population,example,info
loc-graphicMaterials,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload; note the asset declares no ontology or scheme resource to carry it"
loc-graphicMaterials,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-graphicMaterials,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-graphicMaterials,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-graphicMaterials,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-graphicMaterials,Library of Congress,SAR-I01,passed,10,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,10 distinct external vocabulary terms referenced
loc-graphicMaterials,Library of Congress,SAR-I02,failed,1,10,http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember,1 of 10 referenced external terms did not resolve
loc-graphicMaterials,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-graphicMaterials,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-graphicMaterials,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-ethnographicTerms,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-ethnographicTerms,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-ethnographicTerms,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-ethnographicTerms,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-ethnographicTerms,Library of Congress,SAR-P03,passed,,,,
loc-ethnographicTerms,Library of Congress,SAR-P01,passed,,228,,parsed 228 triples as xml
loc-ethnographicTerms,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-ethnographicTerms,Library of Congress,SAR-L04,passed,0,26,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-ethnographicTerms,Library of Congress,SAR-L05,passed,0,25,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-ethnographicTerms,Library of Congress,SAR-L06,passed,0,25,,S14: no more than one prefLabel per language tag
loc-ethnographicTerms,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-ethnographicTerms,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-ethnographicTerms,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-ethnographicTerms,Library of Congress,SAR-D01,passed,0,25,,
loc-ethnographicTerms,Library of Congress,SAR-D02,failed,25,25,http://id.loc.gov/vocabulary/ethnographicTerms/afset020334,
loc-ethnographicTerms,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-ethnographicTerms,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-ethnographicTerms,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-ethnographicTerms,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-ethnographicTerms,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-ethnographicTerms,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-ethnographicTerms,Library of Congress,SAR-I01,passed,19,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,19 distinct external vocabulary terms referenced
loc-ethnographicTerms,Library of Congress,SAR-I02,passed,0,19,,0 of 19 referenced external terms did not resolve
loc-ethnographicTerms,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-ethnographicTerms,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-ethnographicTerms,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-madsrdf,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-madsrdf,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-madsrdf,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-madsrdf,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-madsrdf,Library of Congress,SAR-P03,passed,,,,
loc-madsrdf,Library of Congress,SAR-P01,failed,,,,parse error as xml: None:340:3: Invalid property attribute URI: http://www.w3.org/1999/02/22-rdf-syntax-ns#resource
loc-madsrdf,Library of Congress,SAR-P02,cantTell,,,,serialisation undetermined because parsing failed
loc-madsrdf,Library of Congress,SAR-L01,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L02,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L03,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L04,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L05,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L06,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L07,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L08,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-L09,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-D01,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-D02,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-D03,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-G01,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-G02,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-G03,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-S01,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-S02,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-I01,cantTell,,,,payload did not parse
loc-madsrdf,Library of Congress,SAR-I02,cantTell,,,,payload did not parse
loc-premis3,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-premis3,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-premis3,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-premis3,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-premis3,Library of Congress,SAR-P03,passed,,,,
loc-premis3,Library of Congress,SAR-P01,passed,,471,,parsed 471 triples as xml
loc-premis3,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-premis3,Library of Congress,SAR-L04,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-premis3,Library of Congress,SAR-L05,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-premis3,Library of Congress,SAR-L06,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-premis3,Library of Congress,SAR-L07,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-premis3,Library of Congress,SAR-L08,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-premis3,Library of Congress,SAR-L09,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-premis3,Library of Congress,SAR-D01,passed,0,68,,
loc-premis3,Library of Congress,SAR-D02,failed,40,68,http://www.loc.gov/premis/rdf/v3/determinationDate,
loc-premis3,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-premis3,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-premis3,Library of Congress,SAR-G02,passed,,,,version or dated metadata present
loc-premis3,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-premis3,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-premis3,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-premis3,Library of Congress,SAR-I01,failed,0,,,0 distinct external vocabulary terms referenced
loc-premis3,Library of Congress,SAR-I02,inapplicable,,,,no external vocabulary terms to resolve
loc-premis3,Library of Congress,SAR-L01,failed,2,,,outside OWL 2 DL: OWL 2 DL Profile Report: Ontology and imports closure NOT in profile. The following violations are present:
loc-premis3,Library of Congress,SAR-L02,passed,,,,ELK found the ontology consistent
loc-premis3,Library of Congress,SAR-L03,passed,,,,ELK reported no unsatisfiable classes
loc-bibframe,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-bibframe,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-bibframe,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-bibframe,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-bibframe,Library of Congress,SAR-P03,passed,,,,
loc-bibframe,Library of Congress,SAR-P01,passed,,2735,,parsed 2735 triples as xml
loc-bibframe,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-bibframe,Library of Congress,SAR-L04,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-bibframe,Library of Congress,SAR-L05,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-bibframe,Library of Congress,SAR-L06,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-bibframe,Library of Congress,SAR-L07,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-bibframe,Library of Congress,SAR-L08,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-bibframe,Library of Congress,SAR-L09,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-bibframe,Library of Congress,SAR-D01,passed,0,450,,
loc-bibframe,Library of Congress,SAR-D02,passed,0,450,,
loc-bibframe,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-bibframe,Library of Congress,SAR-G01,passed,,,,licence or rights statement present
loc-bibframe,Library of Congress,SAR-G02,passed,,,,version or dated metadata present
loc-bibframe,Library of Congress,SAR-G03,passed,,,,publisher or creator present
loc-bibframe,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-bibframe,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-bibframe,Library of Congress,SAR-I01,passed,1,,http://creativecommons.org/ns#license,1 distinct external vocabulary terms referenced
loc-bibframe,Library of Congress,SAR-I02,passed,0,1,,0 of 1 referenced external terms did not resolve
loc-bibframe,Library of Congress,SAR-L01,failed,2,,,outside OWL 2 DL: OWL 2 DL Profile Report: Ontology and imports closure NOT in profile. The following violations are present:
loc-bibframe,Library of Congress,SAR-L02,passed,,,,ELK found the ontology consistent
loc-bibframe,Library of Congress,SAR-L03,passed,,,,ELK reported no unsatisfiable classes
nlm-mesh-vocab,National Library of Medicine,SAR-R01,passed,,,,HTTP 200
nlm-mesh-vocab,National Library of Medicine,SAR-R02,passed,,,,HTTP 200
nlm-mesh-vocab,National Library of Medicine,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
nlm-mesh-vocab,National Library of Medicine,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
nlm-mesh-vocab,National Library of Medicine,SAR-P03,passed,,,,
nlm-mesh-vocab,National Library of Medicine,SAR-P01,passed,,342,,parsed 342 triples as xml
nlm-mesh-vocab,National Library of Medicine,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
nlm-mesh-vocab,National Library of Medicine,SAR-L04,inapplicable,,,,asset declares no SKOS concepts or schemes
nlm-mesh-vocab,National Library of Medicine,SAR-L05,inapplicable,,,,asset declares no SKOS concepts or schemes
nlm-mesh-vocab,National Library of Medicine,SAR-L06,inapplicable,,,,asset declares no SKOS concepts or schemes
nlm-mesh-vocab,National Library of Medicine,SAR-L07,inapplicable,,,,asset declares no SKOS concepts or schemes
nlm-mesh-vocab,National Library of Medicine,SAR-L08,inapplicable,,,,asset declares no SKOS concepts or schemes
nlm-mesh-vocab,National Library of Medicine,SAR-L09,inapplicable,,,,asset declares no SKOS concepts or schemes
nlm-mesh-vocab,National Library of Medicine,SAR-D01,failed,1,65,http://id.nlm.nih.gov/mesh/vocab#broader,
nlm-mesh-vocab,National Library of Medicine,SAR-D02,failed,1,65,http://id.nlm.nih.gov/mesh/vocab#broader,
nlm-mesh-vocab,National Library of Medicine,SAR-D03,failed,1,1,http://id.nlm.nih.gov/mesh/vocab#,"0/1 titled, 0/1 described"
nlm-mesh-vocab,National Library of Medicine,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
nlm-mesh-vocab,National Library of Medicine,SAR-G02,passed,,,,version or dated metadata present
nlm-mesh-vocab,National Library of Medicine,SAR-G03,failed,,,,no publisher or creator named in the payload
nlm-mesh-vocab,National Library of Medicine,SAR-S01,inapplicable,,,,no deprecated terms declared
nlm-mesh-vocab,National Library of Medicine,SAR-S02,inapplicable,,,,no deprecated terms declared
nlm-mesh-vocab,National Library of Medicine,SAR-I01,failed,0,,,0 distinct external vocabulary terms referenced
nlm-mesh-vocab,National Library of Medicine,SAR-I02,inapplicable,,,,no external vocabulary terms to resolve
nlm-mesh-vocab,National Library of Medicine,SAR-L01,failed,2,,,outside OWL 2 DL: OWL 2 DL Profile Report: Ontology and imports closure NOT in profile. The following violations are present:
nlm-mesh-vocab,National Library of Medicine,SAR-L02,passed,,,,ELK found the ontology consistent
nlm-mesh-vocab,National Library of Medicine,SAR-L03,passed,,,,ELK reported no unsatisfiable classes
nasa-gcmd-science,NASA,SAR-R01,passed,,,,HTTP 200
nasa-gcmd-science,NASA,SAR-R02,passed,,,,HTTP 200
nasa-gcmd-science,NASA,SAR-R03,failed,,,,served application/xml under an RDF Accept header
nasa-gcmd-science,NASA,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
nasa-gcmd-science,NASA,SAR-P03,passed,,,,
nasa-gcmd-science,NASA,SAR-P01,passed,,24268,,parsed 24268 triples as xml
nasa-gcmd-science,NASA,SAR-P02,failed,,,,"declared application/xml, which is not an RDF media type; parsed as xml"
nasa-gcmd-science,NASA,SAR-L04,passed,0,2000,,S9: skos:ConceptScheme is disjoint with skos:Concept
nasa-gcmd-science,NASA,SAR-L05,passed,0,2000,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
nasa-gcmd-science,NASA,SAR-L06,passed,0,2000,,S14: no more than one prefLabel per language tag
nasa-gcmd-science,NASA,SAR-L07,passed,0,567,,S27: skos:related is disjoint with skos:broaderTransitive
nasa-gcmd-science,NASA,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
nasa-gcmd-science,NASA,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
nasa-gcmd-science,NASA,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-science,NASA,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-science,NASA,SAR-D03,failed,,,,no owl:Ontology or skos:ConceptScheme resource declared
nasa-gcmd-science,NASA,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload; note the asset declares no ontology or scheme resource to carry it"
nasa-gcmd-science,NASA,SAR-G02,passed,,,,version or dated metadata present
nasa-gcmd-science,NASA,SAR-G03,failed,,,,no publisher or creator named in the payload
nasa-gcmd-science,NASA,SAR-S01,inapplicable,,,,no deprecated terms declared
nasa-gcmd-science,NASA,SAR-S02,inapplicable,,,,no deprecated terms declared
nasa-gcmd-science,NASA,SAR-I01,passed,10,,https://gcmd.earthdata.nasa.gov/kms#altLabel,10 distinct external vocabulary terms referenced
nasa-gcmd-science,NASA,SAR-I02,passed,0,10,,0 of 10 referenced external terms did not resolve
nasa-gcmd-science,NASA,SAR-L01,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-science,NASA,SAR-L02,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-science,NASA,SAR-L03,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-platforms,NASA,SAR-R01,passed,,,,HTTP 200
nasa-gcmd-platforms,NASA,SAR-R02,passed,,,,HTTP 200
nasa-gcmd-platforms,NASA,SAR-R03,failed,,,,served application/xml under an RDF Accept header
nasa-gcmd-platforms,NASA,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
nasa-gcmd-platforms,NASA,SAR-P03,passed,,,,
nasa-gcmd-platforms,NASA,SAR-P01,passed,,24247,,parsed 24247 triples as xml
nasa-gcmd-platforms,NASA,SAR-P02,failed,,,,"declared application/xml, which is not an RDF media type; parsed as xml"
nasa-gcmd-platforms,NASA,SAR-L04,passed,0,1309,,S9: skos:ConceptScheme is disjoint with skos:Concept
nasa-gcmd-platforms,NASA,SAR-L05,passed,0,1309,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
nasa-gcmd-platforms,NASA,SAR-L06,passed,0,1309,,S14: no more than one prefLabel per language tag
nasa-gcmd-platforms,NASA,SAR-L07,failed,6,32,043dc242-1014-4e9a-91ee-c472b791b026,S27: skos:related is disjoint with skos:broaderTransitive
nasa-gcmd-platforms,NASA,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
nasa-gcmd-platforms,NASA,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
nasa-gcmd-platforms,NASA,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-platforms,NASA,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-platforms,NASA,SAR-D03,failed,,,,no owl:Ontology or skos:ConceptScheme resource declared
nasa-gcmd-platforms,NASA,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload; note the asset declares no ontology or scheme resource to carry it"
nasa-gcmd-platforms,NASA,SAR-G02,passed,,,,version or dated metadata present
nasa-gcmd-platforms,NASA,SAR-G03,failed,,,,no publisher or creator named in the payload
nasa-gcmd-platforms,NASA,SAR-S01,inapplicable,,,,no deprecated terms declared
nasa-gcmd-platforms,NASA,SAR-S02,inapplicable,,,,no deprecated terms declared
nasa-gcmd-platforms,NASA,SAR-I01,passed,15,,https://gcmd.earthdata.nasa.gov/kms#altLabel,15 distinct external vocabulary terms referenced
nasa-gcmd-platforms,NASA,SAR-I02,passed,0,15,,0 of 15 referenced external terms did not resolve
nasa-gcmd-platforms,NASA,SAR-L01,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-platforms,NASA,SAR-L02,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-platforms,NASA,SAR-L03,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-instruments,NASA,SAR-R01,passed,,,,HTTP 200
nasa-gcmd-instruments,NASA,SAR-R02,passed,,,,HTTP 200
nasa-gcmd-instruments,NASA,SAR-R03,failed,,,,served application/xml under an RDF Accept header
nasa-gcmd-instruments,NASA,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
nasa-gcmd-instruments,NASA,SAR-P03,passed,,,,
nasa-gcmd-instruments,NASA,SAR-P01,passed,,26701,,parsed 26701 triples as xml
nasa-gcmd-instruments,NASA,SAR-P02,failed,,,,"declared application/xml, which is not an RDF media type; parsed as xml"
nasa-gcmd-instruments,NASA,SAR-L04,passed,0,2000,,S9: skos:ConceptScheme is disjoint with skos:Concept
nasa-gcmd-instruments,NASA,SAR-L05,passed,0,2000,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
nasa-gcmd-instruments,NASA,SAR-L06,passed,0,2000,,S14: no more than one prefLabel per language tag
nasa-gcmd-instruments,NASA,SAR-L07,passed,0,118,,S27: skos:related is disjoint with skos:broaderTransitive
nasa-gcmd-instruments,NASA,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
nasa-gcmd-instruments,NASA,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
nasa-gcmd-instruments,NASA,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-instruments,NASA,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-instruments,NASA,SAR-D03,failed,,,,no owl:Ontology or skos:ConceptScheme resource declared
nasa-gcmd-instruments,NASA,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload; note the asset declares no ontology or scheme resource to carry it"
nasa-gcmd-instruments,NASA,SAR-G02,passed,,,,version or dated metadata present
nasa-gcmd-instruments,NASA,SAR-G03,failed,,,,no publisher or creator named in the payload
nasa-gcmd-instruments,NASA,SAR-S01,inapplicable,,,,no deprecated terms declared
nasa-gcmd-instruments,NASA,SAR-S02,inapplicable,,,,no deprecated terms declared
nasa-gcmd-instruments,NASA,SAR-I01,passed,16,,https://gcmd.earthdata.nasa.gov/kms#altLabel,16 distinct external vocabulary terms referenced
nasa-gcmd-instruments,NASA,SAR-I02,passed,0,16,,0 of 16 referenced external terms did not resolve
nasa-gcmd-instruments,NASA,SAR-L01,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-instruments,NASA,SAR-L02,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-instruments,NASA,SAR-L03,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-providers,NASA,SAR-R01,passed,,,,HTTP 200
nasa-gcmd-providers,NASA,SAR-R02,passed,,,,HTTP 200
nasa-gcmd-providers,NASA,SAR-R03,failed,,,,served application/xml under an RDF Accept header
nasa-gcmd-providers,NASA,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
nasa-gcmd-providers,NASA,SAR-P03,passed,,,,
nasa-gcmd-providers,NASA,SAR-P01,passed,,26155,,parsed 26155 triples as xml
nasa-gcmd-providers,NASA,SAR-P02,failed,,,,"declared application/xml, which is not an RDF media type; parsed as xml"
nasa-gcmd-providers,NASA,SAR-L04,passed,0,2000,,S9: skos:ConceptScheme is disjoint with skos:Concept
nasa-gcmd-providers,NASA,SAR-L05,passed,0,2000,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
nasa-gcmd-providers,NASA,SAR-L06,passed,0,2000,,S14: no more than one prefLabel per language tag
nasa-gcmd-providers,NASA,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
nasa-gcmd-providers,NASA,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
nasa-gcmd-providers,NASA,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
nasa-gcmd-providers,NASA,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-providers,NASA,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
nasa-gcmd-providers,NASA,SAR-D03,failed,,,,no owl:Ontology or skos:ConceptScheme resource declared
nasa-gcmd-providers,NASA,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload; note the asset declares no ontology or scheme resource to carry it"
nasa-gcmd-providers,NASA,SAR-G02,passed,,,,version or dated metadata present
nasa-gcmd-providers,NASA,SAR-G03,failed,,,,no publisher or creator named in the payload
nasa-gcmd-providers,NASA,SAR-S01,inapplicable,,,,no deprecated terms declared
nasa-gcmd-providers,NASA,SAR-S02,inapplicable,,,,no deprecated terms declared
nasa-gcmd-providers,NASA,SAR-I01,passed,14,,https://gcmd.earthdata.nasa.gov/kms#altLabel,14 distinct external vocabulary terms referenced
nasa-gcmd-providers,NASA,SAR-I02,passed,0,14,,0 of 14 referenced external terms did not resolve
nasa-gcmd-providers,NASA,SAR-L01,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-providers,NASA,SAR-L02,inapplicable,,,,asset is not an OWL ontology
nasa-gcmd-providers,NASA,SAR-L03,inapplicable,,,,asset is not an OWL ontology
usgs-thesaurus,USGS,SAR-R01,passed,,,,HTTP 200
usgs-thesaurus,USGS,SAR-R02,passed,,,,HTTP 200
usgs-thesaurus,USGS,SAR-R03,failed,,,,served text/html under an RDF Accept header
usgs-thesaurus,USGS,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
usgs-thesaurus,USGS,SAR-P03,passed,,,,
usgs-thesaurus,USGS,SAR-P01,passed,,9689,,parsed 9689 triples as xml
usgs-thesaurus,USGS,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
usgs-thesaurus,USGS,SAR-L04,passed,0,1027,,S9: skos:ConceptScheme is disjoint with skos:Concept
usgs-thesaurus,USGS,SAR-L05,passed,0,1026,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
usgs-thesaurus,USGS,SAR-L06,passed,0,1026,,S14: no more than one prefLabel per language tag
usgs-thesaurus,USGS,SAR-L07,failed,1,1106,https://apps.usgs.gov/thesaurus/USGSThesaurus/controlled%20fires,S27: skos:related is disjoint with skos:broaderTransitive
usgs-thesaurus,USGS,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
usgs-thesaurus,USGS,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
usgs-thesaurus,USGS,SAR-D01,passed,0,1026,,
usgs-thesaurus,USGS,SAR-D02,passed,0,1026,,
usgs-thesaurus,USGS,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
usgs-thesaurus,USGS,SAR-G01,passed,,,,licence or rights statement present
usgs-thesaurus,USGS,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
usgs-thesaurus,USGS,SAR-G03,passed,,,,publisher or creator present
usgs-thesaurus,USGS,SAR-S01,inapplicable,,,,no deprecated terms declared
usgs-thesaurus,USGS,SAR-S02,inapplicable,,,,no deprecated terms declared
usgs-thesaurus,USGS,SAR-I01,failed,0,,,0 distinct external vocabulary terms referenced
usgs-thesaurus,USGS,SAR-I02,inapplicable,,,,no external vocabulary terms to resolve
usgs-thesaurus,USGS,SAR-L01,inapplicable,,,,asset is not an OWL ontology
usgs-thesaurus,USGS,SAR-L02,inapplicable,,,,asset is not an OWL ontology
usgs-thesaurus,USGS,SAR-L03,inapplicable,,,,asset is not an OWL ontology
usgs-geographic,USGS,SAR-R01,passed,,,,HTTP 200
usgs-geographic,USGS,SAR-R02,passed,,,,HTTP 200
usgs-geographic,USGS,SAR-R03,failed,,,,served text/html under an RDF Accept header
usgs-geographic,USGS,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
usgs-geographic,USGS,SAR-P03,passed,,,,
usgs-geographic,USGS,SAR-P01,passed,,840572,,parsed 840572 triples as xml
usgs-geographic,USGS,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
usgs-geographic,USGS,SAR-L04,passed,0,51522,,S9: skos:ConceptScheme is disjoint with skos:Concept
usgs-geographic,USGS,SAR-L05,passed,0,51521,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
usgs-geographic,USGS,SAR-L06,passed,0,51521,,S14: no more than one prefLabel per language tag
usgs-geographic,USGS,SAR-L07,failed,4700,246221,https://apps.usgs.gov/thesaurus/CommonGeographicAreas/King,S27: skos:related is disjoint with skos:broaderTransitive
usgs-geographic,USGS,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
usgs-geographic,USGS,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
usgs-geographic,USGS,SAR-D01,passed,0,51521,,
usgs-geographic,USGS,SAR-D02,passed,0,51521,,
usgs-geographic,USGS,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
usgs-geographic,USGS,SAR-G01,passed,,,,licence or rights statement present
usgs-geographic,USGS,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
usgs-geographic,USGS,SAR-G03,passed,,,,publisher or creator present
